제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,01/18/2016,07:30:00,01/18/2016,08:30:00,FALSE,FALSE,01/18/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
수제비아욱된장국
삼곡밥
마늘쫑맛살볶음
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니와플/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,01/18/2016,11:30:00,01/18/2016,13:00:00,FALSE,FALSE,01/18/2016,11:30,Nine2Six,,,,,,,"
[한식]
설렁탕*소면사리(소:호주산)
흑향미밥
모듬숙회(오징어,브로커리,다시마)
두부구이*달래양념장
연근땅콩조림
나트륨을줄인포기김치/석박지
788kcal

[일품]
허브통살치킨까스*양념치킨S
(닭:국내산)
검정깨밥/크림스프
허니브레드/고구마블루베리샐러드
무오이피클
나트륨을줄인포기김치/석박지
1455kcal

[헬스&]
검정병아리콩오곡밥
무채국
새송이황태구이
단호박계란조림
봄동숙채
콜라비깍두기
토마토
836kcal

[Slunch]
모닝샌드위치샐러드세트
오렌지치킨텐더샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
라디치오믹스샐러드
씨리얼
케어플러스오디두유마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,01/18/2016,17:30:00,01/18/2016,19:00:00,FALSE,FALSE,01/18/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
간장데리야끼삼치구이*꽈리고추
쌀밥
보글보글해물된장찌개
야채계란말이
파래무생채
나트륨을줄인포기김치
1365kcal

[샐러드도시락]
모닝샌드위치샐러드세트

[플러스메뉴]
라디치오믹스샐러드*견과류**오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,01/19/2016,07:30:00,01/19/2016,08:30:00,FALSE,FALSE,01/19/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
돼지고기감자찌개(돼지:미국산)
삼곡밥
명엽채흑임자무침
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니크로와상/딸기잼*버터
그린샐러드*키위D
우유/계란후라이
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,01/19/2016,11:30:00,01/19/2016,13:00:00,FALSE,FALSE,01/19/2016,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기버섯불고기*당면사리(소:호주산)
쌀밥
삼색무쌈야채말이*겨자소스
감자전
견과류멸치볶음
나트륨을줄인포기김치/석박지
1169kcal

[일품]
스팸마요덮밥
유부된장국
칠리치즈감자튀김(소:호주산)
오복채무침
나트륨을줄인포기김치/석박지
1156kcal

[헬스&]









[Slunch]
콥샐러드(닭:국내산)
치킨머쉬룸샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
적겨자잎믹스샐러드
스위트콘*키드니빈
아몬드D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,01/19/2016,17:30:00,01/19/2016,19:00:00,FALSE,FALSE,01/19/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
[즉석]냄비닭칼국수*부추무침(닭:국내산)
쌀밥
김치*고기만두
무말랭이무침
봄동겉절이
열무김치
1274kcal

[샐러드도시락]
콥샐러드(닭:국내산)

[플러스메뉴]
적겨자잎믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,01/20/2016,07:30:00,01/20/2016,08:30:00,FALSE,FALSE,01/20/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
감자양파국
삼곡밥
미트볼케찹조림(돼지:수입,국산,닭:국내산)
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,01/20/2016,11:30:00,01/20/2016,13:00:00,FALSE,FALSE,01/20/2016,11:30,Nine2Six,,,,,,,"
[한식]
제육김치두루치기*두부찜(돼지:미국산)
수수밥
들깨미역국
볼어묵야채볶음
브로컬리&컬리플라워*초장
나트륨을줄인포기김치/석박지
1051kcal

[일품]
[즉석] 얼큰한 홍합짬뽕
쌀밥
달콤한고구마가래떡맛탕
단무지&양파*춘장
나트륨을줄인포기김치/석박지
1330kcal

[헬스&]
굴무밥/나트륨줄인간장양념장
미역국
깐풍채소 들기름두부구이
열무된장무침
자색연근초무침
백김치
사과
735kcal

[Slunch]
쇠고기브리또샐러드세트(소:호주산)
그릭치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
황메밀싹믹스샐러드
견과류
케어플러스흑임자두유마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,01/20/2016,17:30:00,01/20/2016,19:00:00,FALSE,FALSE,01/20/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
매운규동[일본식쇠고기덮밥](소:호주산)
미니미소라멘
감자고로케*케찹
후르츠콘샐러드
치자단무지*락교
나트륨을줄인포기김치
1474kcal

[샐러드도시락]
쇠고기브리또샐러드세트(소:호주산)

[플러스메뉴]
황메밀싹믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,01/21/2016,07:30:00,01/21/2016,08:30:00,FALSE,FALSE,01/21/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
시원한북어채국
삼곡밥
깻잎양념무침
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*초코도넛/딸기잼*버터
그린샐러드*키위D
우유/계란후라이
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
