제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,03/07/2016,07:30:00,03/07/2016,08:30:00,FALSE,FALSE,03/07/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
북어채해장국
잡곡밥
깐마늘장아찌
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*부시맥브레드/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/07/2016,11:30:00,03/07/2016,13:00:00,FALSE,FALSE,03/07/2016,11:30,Nine2Six,,,,,,,"
[한식]
한방양지탕*당면(소:호주산)
흑미밥
떡고기산적*브로콜리
(돼지:수입산,국산,닭:국내산)
어묵채고추장볶음
매실청오이지무침
나트륨을줄인포기김치/석박지
859kcal

[일품]
봄쭈꾸미오징어볶음생야채비빔밥
팽이버섯된장국
감자양파조림
사과맛푸딩
나트륨을줄인포기김치/석박지
1062kcal

[헬스&]
무말랭이버섯밥
무채국
가자미유자소스구이
브로콜리달걀스크램블
참나물겉절이
나트륨줄인포기김치
토마토
819kcal

[Slunch]
아보카도퀴노아샐러드(닭:국내산)
오렌지치킨텐더샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
적겨자잎믹스샐러드
씨리얼(후르츠링)
망고요거트D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/07/2016,17:30:00,03/07/2016,19:00:00,FALSE,FALSE,03/07/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
통조림꽁치김치찌개
쌀밥
계란어묵조림
피망맛살볶음
돌나물*초고추장
나트륨을줄인포기김치
926kcal

[샐러드도시락]
아보카도퀴노아샐러드

[플러스메뉴]
비타민믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/08/2016,07:30:00,03/08/2016,08:30:00,FALSE,FALSE,03/08/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
시금치된장국
잡곡밥
바베큐소시지볶음
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*키위D
우유/계란후라이
감자샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/08/2016,11:30:00,03/08/2016,13:00:00,FALSE,FALSE,03/08/2016,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기차돌순두부찌개(소:미국산)
차조밥
야채계란말이
도토리묵야채무침
치커리겉절이
나트륨을줄인포기김치/석박지
1372kcal

[일품]
꼬치어묵우동
김밥/추가밥
야채크로켓*케찹
후르츠콘샐러드
나트륨을줄인포기김치/석박지
1236kcal

[헬스&]









[Slunch]
구운야채콥샐러드세트
머쉬룸치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
적무순싹믹스샐러드
스위트콘*키드니빈
오디요거트D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/08/2016,17:30:00,03/08/2016,19:00:00,FALSE,FALSE,03/08/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
봄나물촌국수
쌀밥
마약김밥*겨자소스
모듬춘권*칠리소스
절임고추무침
나트륨을줄인포기김치
1276kcal

[샐러드도시락]
구운야채콥샐러드세트

[플러스메뉴]
적무순싹믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/09/2016,07:30:00,03/09/2016,08:30:00,FALSE,FALSE,03/09/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
쇠고기두부탕국(소:호주산)
잡곡밥
무말랭이무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/09/2016,11:30:00,03/09/2016,13:00:00,FALSE,FALSE,03/09/2016,11:30,Nine2Six,,,,,,,"
[한식]
제육깻잎볶음*양배추쌈(돼지:국내산)
수수밥
맑은콩나물국
후랑크야채볶음
쑥갓생두부무침
나트륨을줄인포기김치/석박지
1116kcal

[일품]
스팸마요덮밥덮밥

미소시루
국물떡볶이*김말이튀김
단무지부추무침
나트륨을줄인포기김치/석박지
1396kcal

[헬스&]
율무오곡밥/미역국
무소스콩불고기
알배기배추쌈/저염토마토쌈장
우엉흑임자구이
시금치나물
나트륨줄인포기김치
귤
775kcal

[Slunch]
애플모짜렐라치즈샐러드(닭:국내산)
그릭치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
레디쉬믹스샐러드
잡곡크루통
케어플러스흑임자두유마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/09/2016,17:30:00,03/09/2016,19:00:00,FALSE,FALSE,03/09/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
인도전통새우커리*난
강황밥(자율)
맑은우동국물
소시지모듬구이
무비트피클
나트륨을줄인포기김치
1683kcal

[샐러드도시락]
애플모짜렐라치즈샐러드

[플러스메뉴]
비트채믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/10/2016,07:30:00,03/10/2016,08:30:00,FALSE,FALSE,03/10/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
호박고추장찌개
잡곡밥
우엉조림
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*키위D
우유/계란후라이
햄구이

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/10/2016,11:30:00,03/10/2016,13:00:00,FALSE,FALSE,03/10/2016,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기돼지고기감자찌개(돼지:미국산)
기장밥
동그랑땡*참나물겨자채
(돼지:국내산,닭:국내산)
감자전
오복채무침
나트륨을줄인포기김치/석박지
909kcal

[일품]
전주비빔밥*계란후라이
유부된장국
연두부*새싹*양념장
브로콜리콩샐러드
나트륨을줄인포기김치/석박지
981kcal

[헬스&]









[Slunch]
아보카도쉬림프샐러드
레인보우치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
베이비채소믹스샐러드
견과류
새콤달콤키위D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/10/2016,17:30:00,03/10/2016,19:00:00,FALSE,FALSE,03/10/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
꽁치한마리구이*와사비장
쌀밥
뚝배기된장찌개
파래김구이*양념장
삼색콩나물무침
나트륨을줄인포기김치
832kcal

[샐러드도시락]
아보카도쉬림프샐러드

[플러스메뉴]
베이비채소샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/11/2016,07:30:00,03/11/2016,08:30:00,FALSE,FALSE,03/11/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
김치찌개
잡곡밥
맛살야채볶음
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*초코도넛/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/11/2016,11:30:00,03/11/2016,13:00:00,FALSE,FALSE,03/11/2016,11:30,Nine2Six,,,,,,,"
[한식]
떡만두국
보리밥
섭산적구이*무말랭이(돼지:수입산,국산)
볼어묵고추장조림
건파래볶음
나트륨을줄인포기김치/석박지
1316kcal

[일품]
베이컨김치볶음밥*계란후라이
맑은우동국물
고구마흑임자맛탕
실곤약야채무침
나트륨을줄인포기김치/석박지
962kcal

[헬스&]
현미오곡연잎밥 
호박채맑은국
훈제오리포두부쌈
(오리:국내산,비프엑기스(우육:호주산))
건새우브로콜리볶음
무말랭이고춧잎무침
백김치
사과
803kcal

[Slunch]
모닝빵샌드위치샐러드
오렌지치킨텐더샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
콜리플라워(+적채)믹스샐러드
씨리얼(아몬드후레이크)
파인애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/11/2016,17:30:00,03/11/2016,19:00:00,FALSE,FALSE,03/11/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기콩비지찌개
쌀밥
스팸구이*케찹
연근조림
봄동겉절이
나트륨을줄인포기김치
834kcal

[샐러드도시락]
모닝빵샌드위치샐러드

[플러스메뉴]
콜라비믹스샐러드*견과류*오리엔탈
",FALSE,2,중간,보통,
