제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,05/18/2015,07:30:00,05/18/2015,08:30:00,FALSE,FALSE,05/18/2015,07:30,Nine2Six,,,,,,,"
[한식]
김치콩나물국
삼곡밥
어묵마늘종볶음(갈치:수입산)
포기김치
830kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*미니와플/딸기잼*버터
그린샐러드*오리엔탈D
우유
스크램블에그
햄구이

[플러스메뉴]
누룽지/김구이
",FALSE,2,중간,보통,
점심메뉴,05/18/2015,11:30:00,05/18/2015,13:00:00,FALSE,FALSE,05/18/2015,11:30,Nine2Six,,,,,,,"
[한식]
설렁탕*소면사리
(소:호주산)
보리밥
숯불동그랑땡전(돼지:국내산/닭:국내산)
도토리묵김치무침
견과류콩조림
포기김치/석박지
992kcal

[일품]
김치가츠동[김치돈까스덮밥]
(돼지:국내산)
팽이버섯된장국
타코야끼
일식치자단무지*초생강
포기김치/석박지
1005kcal

[헬스&]
[질환예방식단-'미세먼지'에좋은식단]
흑미도라지비빔밥
팽이버섯된장국
연근미나리메밀전
감자채파프리카볶음/견과류콩조림
포기김치/석박지
766kcal

[Slunch]
그래놀라고구마샐러드세트
닭가슴살샐러드(닭:국내산)
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
크루통
딸기요거트D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,05/18/2015,17:30:00,05/18/2015,19:00:00,FALSE,FALSE,05/18/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
바베큐소시지오므라이스*더블S
맑은우동국물
감자고로케*케찹
미니샐러드파스타
오복채무침
포기김치
1012kcal

[샐러드도시락]
큐브참치샐러드

[플러스메뉴]
그린샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,05/19/2015,07:30:00,05/19/2015,08:30:00,FALSE,FALSE,05/19/2015,07:30,Nine2Six,,,,,,,"
[한식]
들깨감자국
삼곡밥
깻잎양념무침
포기김치
819kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*오리엔탈D
우유
계란후라이
씨리얼

[플러스메뉴]
누룽지/계란후라이
",FALSE,2,중간,보통,
점심메뉴,05/19/2015,11:30:00,05/19/2015,13:00:00,FALSE,FALSE,05/19/2015,11:30,Nine2Six,,,,,,,"
[한식]
철판치즈닭갈비*고구마사리
(닭:브라질산)
수수밥
흰떡미역국
두부계란지짐*양념장
브로컬리&컬리플라워*초장
포기김치/석박지
1002kcal

[일품]
숯불소금구이덮밥
(돼지:수입산)
유부된장국
칠리김말이고구마튀김강정
건과일요거트샐러드
포기김치/석박지
1010kcal

[헬스&]








[Slunch]
그릴드베지터블샌드위치세트
케이준치킨텐더샐러드(닭:국내산)
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
견과류
사우전D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,05/19/2015,17:30:00,05/19/2015,19:00:00,FALSE,FALSE,05/19/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
[새마을식당]7분김치찌개*조미김가루
(돼지:국내산,미국산)
쌀밥
떡고기산적구이(돼지:국내산/닭:국내산)
청양풍한식잡채
참나물들깨무침
알타리김치
994kcal

[샐러드도시락]
단호박샐러드

[플러스메뉴]
그린샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,05/20/2015,07:30:00,05/20/2015,08:30:00,FALSE,FALSE,05/20/2015,07:30,Nine2Six,,,,,,,"
[한식]
얼갈이된장국
삼곡밥
꽁치양념무조림
포기김치
833kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*참깨롤빵/딸기잼*버터
그린샐러드*오리엔탈D
우유
스크램블에그
매쉬드포테이토

[플러스메뉴]
누룽지/김구이
",FALSE,2,중간,보통,
점심메뉴,05/20/2015,11:30:00,05/20/2015,13:00:00,FALSE,FALSE,05/20/2015,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기버섯불고기*당면사리
(소:호주산)
흑향미밥
맑은콩나물국
비엔나조랑떡야채볶음
쑥갓생두부무침
포기김치/석박지
981kcal

[일품]
고추참치마요라이스
맑은우동국물
치킨너겟*머스터드S(닭:국내산)
코울슬로
포기김치/석박지
1014kcal

[헬스&]
[네이쳐데이]
시래기영양밥*들기름양념장
맑은콩나물국
샐러드전[퓨전한식피자]
냉연두부*흑임자D/아삭이고추된장무침
포기김치/석박지
750kcal

[Slunch]
모듬콩프리타타세트(소:호주산)
큐브참치샐러드
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
씨리얼
망고D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,05/20/2015,17:30:00,05/20/2015,19:00:00,FALSE,FALSE,05/20/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
깻잎채곁들인 오돈불고기
(돼지:수입산)
기장밥
두부김치국
야채계란말이
마늘쫑양념무침
포기김치
996kcal

[샐러드도시락]
닭가슴살샐러드(닭:국내산)

[플러스메뉴]
그린샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,05/21/2015,07:30:00,05/21/2015,08:30:00,FALSE,FALSE,05/21/2015,07:30,Nine2Six,,,,,,,"
[한식]
콩비지김치찌개(돼지:미국산)
삼곡밥
알감자조림
포기김치
826kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*오리엔탈D
우유
계란후라이
감자튀김

[플러스메뉴]
누룽지/계란후라이
",FALSE,2,중간,보통,
