제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,03/14/2016,07:30:00,03/14/2016,08:30:00,FALSE,FALSE,03/14/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
꼬맹이만두국
잡곡밥
멸치간장볶음
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*부시맥브레드/딸기잼*버터
그린샐러드*요거트D
우유/스크램블에그
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/14/2016,11:30:00,03/14/2016,13:00:00,FALSE,FALSE,03/14/2016,11:30,Nine2Six,,,,,,,"
[한식]
제육떡볶음*깻잎채(돼지:국내산)
기장밥
맑은콩나물국
비엔나야채볶음
미나리오이무침
나트륨을줄인포기김치/석박지
1148kcal

[일품]
수제함박오므라이스(돼지:국내산)
유부된장국
비빔만두   
야채피클
나트륨을줄인포기김치/석박지
1262kcal

[헬스&]









[Slunch]
칠리브리또샐러드세트(소:호주산)
오렌지치킨텐더샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
적양무믹스샐러드
씨리얼
사우전D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/14/2016,17:30:00,03/14/2016,19:00:00,FALSE,FALSE,03/14/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
[즉석]냄비닭칼국수(닭:국내산)
쌀밥
잡채말이어묵깐풍
도토리묵야채무침
아삭이고추된장무침
나트륨을줄인포기김치
1264kcal

[샐러드도시락]
칠리브리또샐러드세트(소:호주산)

[플러스메뉴]
비타민믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/15/2016,07:30:00,03/15/2016,08:30:00,FALSE,FALSE,03/15/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]







[일품                       ]





",FALSE,2,중간,보통,
점심메뉴,03/15/2016,11:30:00,03/15/2016,13:00:00,FALSE,FALSE,03/15/2016,11:30,Nine2Six,,,,,,,"
[한식]








[일품]







[헬스&]









[Slunch]




[플러스메뉴]




",FALSE,2,중간,보통,
저녁메뉴,03/15/2016,17:30:00,03/15/2016,19:00:00,FALSE,FALSE,03/15/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
아침메뉴,03/16/2016,07:30:00,03/16/2016,08:30:00,FALSE,FALSE,03/16/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
아욱수제비국
잡곡밥
두부조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*요거트D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/16/2016,11:30:00,03/16/2016,13:00:00,FALSE,FALSE,03/16/2016,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기심슨탕(소:호주산)
쌀밥
떡고기완자전(돼지:수입산,국산,닭:국내산)
콩나물들깨무침
오복채무침
나트륨을줄인포기김치/석박지
943kcal

[일품]
허브통살치킨까스*양념치킨S(닭:국내산)
검정깨밥/크림스프
감자튀김/마카로니샐러드
오이피클&할라피뇨
나트륨을줄인포기김치/석박지
1277kcal

[헬스&]
귀리오곡밥
미역국
더덕돈불고기(돼지:미국산)
파래새우전
콩나물무침
나트륨줄인포기김치
방울토마토
825kcal

[Slunch]
베이글치킨레몬샐러드(닭:국내산)
그릭치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
레디쉬믹스샐러드
잡곡크루통
케어플러스흑임자두유마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/16/2016,17:30:00,03/16/2016,19:00:00,FALSE,FALSE,03/16/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기냉이된장찌개
쌀밥
야채계란말이
새송이야채볶음
연근조림
나트륨을줄인포기김치
1336kcal

[샐러드도시락]
베이글치킨레몬샐러드(닭:국내산)

[플러스메뉴]
비트채믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/17/2016,07:30:00,03/17/2016,08:30:00,FALSE,FALSE,03/17/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
두부김치찌개
잡곡밥
깻잎무침
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*요거트D
우유/계란후라이
햄구이

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/17/2016,11:30:00,03/17/2016,13:00:00,FALSE,FALSE,03/17/2016,11:30,Nine2Six,,,,,,,"
[한식]
매콤오징어낙지볶음*소면사리
(낙지:베트남산)
수수밥
감자양파국
야채계란찜
견과류콩조림
나트륨을줄인포기김치/석박지
974kcal

[일품]
[즉석]옛날짜장면(돼지:국내산)
야채볶음밥/계란파국
사천식탕수육(돼지:국내산)
단무지*양파&춘장
나트륨을줄인포기김치/석박지
2056kcal

[헬스&]









[Slunch]
그린빈치킨샐러드(닭:국내산)
레인보우치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
베이비채소믹스샐러드
견과류
새콤달콤키위D/오리엔탈D
",FALSE,2,중간,보통,
