제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,07/25/2016,07:30:00,07/25/2016,08:30:00,FALSE,FALSE,07/25/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
북어채콩나물국
삼곡밥
무말랭이무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
단호박샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,07/25/2016,11:30:00,07/25/2016,13:00:00,FALSE,FALSE,07/25/2016,11:30,Nine2Six,,,,,,,"
[한식]
얼큰닭개장*당면
(닭:국내산,소(육우):국내산)
흑향미밥
비엔나양파볶음*케찹
우묵무침
깐마늘마늘쫑무침
나트륨을줄인포기김치/석박지
956kcal

[일품]
떡볶이치즈돈까스(돼지:국내산)
검은깨밥/팽이버섯된장국
발사믹토마토*아이순
무비트피클
나트륨을줄인포기김치/석박지
1253kcal

[헬스&]
찰보리현미밥/호박잎된장국
꽈리고추돼지고기찜(돼지:국내산)
별미엔쵸비모듬쌈
건새우마늘쫑볶음
오이콩나물냉채
콜라비깍두기/토마토
나트륨을줄인포기김치
859kcal

[Slunch]
아몬드치킨샌드위치세트(닭:국내산)
오렌지치킨텐더샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
라디치오믹스샐러드
콘후레이크
애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,07/25/2016,17:30:00,07/25/2016,19:00:00,FALSE,FALSE,07/25/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기짬뽕전골
(돼지:국내산,오징어:칠레산)
쌀밥
야채계란말이
참나물겉절이
과일꼬지요거트퐁듀
나트륨을줄인포기김치
1260kcal

[샐러드도시락]
아몬드치킨샌드위치세트(닭:국내산)

[플러스메뉴]
라디치오믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,07/26/2016,07:30:00,07/26/2016,08:30:00,FALSE,FALSE,07/26/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
감자미역국
삼곡밥
깻잎양념무침
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*부시맥브레드/딸기잼*버터
그린샐러드*키위D
우유/계란후라이
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,07/26/2016,11:30:00,07/26/2016,13:00:00,FALSE,FALSE,07/26/2016,11:30,Nine2Six,,,,,,,"
[한식]
[뚝배기]참치김치찌개
차조밥
새송이계란조림
풋고추어묵볶음
통깨건파래볶음
나트륨을줄인포기김치/석박지
955kcal

[일품]
토마토스파게티
베이컨포테이토피자
스프라이트
오이피클*할리피뇨
나트륨을줄인포기김치/석박지
944kcal

[헬스&]









[Slunch]
칠리브리또샐러드세트(소:호주산)
치킨머쉬룸샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
아이순믹스샐러드
믹스견과
흑임자D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,07/26/2016,17:30:00,07/26/2016,19:00:00,FALSE,FALSE,07/26/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
새우튀김우동
유부초밥
고구마범벅
방울토마토콘샐러드
단무지무침
나트륨을줄인포기김치
1357kcal

[샐러드도시락]
칠리브리또샐러드세트(소:호주산)

[플러스메뉴]
아이순믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,07/27/2016,07:30:00,07/27/2016,08:30:00,FALSE,FALSE,07/27/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
두부김치찌개
삼곡밥
명엽채무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
햄구이

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,07/27/2016,11:30:00,07/27/2016,13:00:00,FALSE,FALSE,07/27/2016,11:30,Nine2Six,,,,,,,"
[한식]
한방영양갈비탕*당면사리
(소:호주산)
12곡밥
매콤불맛낙지볶음*콩나물
(낙지:베트남산)
오이,당근,고추스틱
수박
나트륨을줄인포기김치/석박지
1564kcal

[일품]







[헬스&]









[Slunch]
베이글치킨레몬샐러드(닭:국내산)
그릭치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
황메밀싹믹스샐러드
잡곡크루통
참깨마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,07/27/2016,17:30:00,07/27/2016,19:00:00,FALSE,FALSE,07/27/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
오징어제육볶음덮밥
(돼지:수입산,오징어:국내산)
어묵무국
납작지짐만두*부추겉절이
마카로니샐러드
비락식혜
나트륨을줄인포기김치
982kcal

[샐러드도시락]
베이글치킨레몬샐러드(닭:국내산)

[플러스메뉴]
적겨자잎믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,07/28/2016,07:30:00,07/28/2016,08:30:00,FALSE,FALSE,07/28/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
호박고추장찌개
삼곡밥
검은콩조림
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*키위D
우유/계란후라이
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,07/28/2016,11:30:00,07/28/2016,13:00:00,FALSE,FALSE,07/28/2016,11:30,Nine2Six,,,,,,,"
[한식]
제육버섯고추장볶음*파무침
(돼지:수입산)
기장밥
근대국
멸치꽈리고추조림
숙주미나리참깨나물
나트륨을줄인포기김치/석박지
862kcal

[일품]
닭다리데리야끼구이(닭:국내산)
*더운야채*줄무늬감자튀김
검양
칠리소스볶음밥/크림스프
건과일샐러드
야채피클
나트륨을줄인포기김치/석박지
987kcal

[헬스&]









[Slunch]
크랜베리치킨샐러드(닭:국내산)
리코타칙피샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
냉모밀


",FALSE,2,중간,보통,
저녁메뉴,07/28/2016,17:30:00,07/28/2016,19:00:00,FALSE,FALSE,07/28/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
동태콩나물찜(명태:러시아산)
쌀밥
얼갈이두부된장국
부드러운계란찜
생깻잎지
나트륨을줄인포기김치
816kcal

[샐러드도시락]
크랜베리치킨샐러드(닭:국내산)

[플러스메뉴]
라디치오믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,07/29/2016,07:30:00,07/29/2016,08:30:00,FALSE,FALSE,07/29/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
김치콩나물국
삼곡밥
연근조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*초코도넛/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,07/29/2016,11:30:00,07/29/2016,13:00:00,FALSE,FALSE,07/29/2016,11:30,Nine2Six,,,,,,,"
[한식]
[뚝배기]차돌순두부찌개(소:미국산)
보리밥
데리야끼조랑떡갈비조림(돼지:수입,국산)
맛살야채볶음
매실청오이지무침
나트륨을줄인포기김치/나박김치
883kcal

[일품]
스팸김치계란덮밥
유부된장국
감자고로켓
실곤약야채무침
나트륨을줄인포기김치/나박김치
1217kcal

[헬스&]
수수함박스테이크(돼지:국내,소:호주산)
유부된장국
100%현미밥 (1/2)
잡곡크루통샐러드 
스파이시오리엔탈드레싱
그릴드채소스틱
병아리콩단호박찜(1/2)
무비트피클
1203kcal

[Slunch]
모닝빵샌드위치세트
레인보우치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
파프리카믹스샐러드
스위트콘*키드니빈
유자레몬D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,07/29/2016,17:30:00,07/29/2016,19:00:00,FALSE,FALSE,07/29/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
돈사태떡찜(돼지:국내산)
쌀밥
미역국
진미채야채무침(오징어:페루산)
무짠지채무침
나트륨을줄인포기김치
753kcal

[샐러드도시락]
모닝빵샌드위치세트

[플러스메뉴]
파프리카믹스샐러드*모듬콩*오리엔탈D
",FALSE,2,중간,보통,
