제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,12/28/2015,07:30:00,12/28/2015,08:30:00,FALSE,FALSE,12/28/2015,07:30,Nine2Six,,,,,,,"
[한식                     ]
홍합살미역국
삼곡밥
깐마늘마늘쫑무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니와플/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,12/28/2015,11:30:00,12/28/2015,13:00:00,FALSE,FALSE,12/28/2015,11:30,Nine2Six,,,,,,,"
[한식]
속이든든한쇠고기국밥*당면
(소:호주산)
기장밥
해물떡편완자*부추양파무침
야채계란찜
매실청오이지무침
나트륨을줄인포기김치/석박지
1214kcal

[일품]
베이컨김치볶음밥*계란후라이                          
맑은우동국물
감자사라다빵
파프리카콘샐러드
나트륨을줄인포기김치/석박지
1042kcal

[헬스&]
율무오곡밥/무채국
무소스콩불고기
알배기배추쌈/저염토마토쌈장
우엉흑임자구이
시금치나물
귤
나트륨을줄인포기김치
675kcal

[Slunch]
모닝빵샌드위치세트
오렌지치킨텐더샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
적겨자잎믹스샐러드
스위트콘*키드니빈
두유렌치D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,12/28/2015,17:30:00,12/28/2015,19:00:00,FALSE,FALSE,12/28/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
매운어묵가락국수
마약김밥*겨자소스/쌀밥
제육강정 (돼지:국내산)
[즉석]부추전
절임고추무침
나트륨을줄인포기김치
1313kcal

[샐러드도시락]
모닝빵샌드위치세트

[플러스메뉴]
적겨자잎믹스샐러드*견과류*오리엔탈
",FALSE,2,중간,보통,
아침메뉴,12/29/2015,07:30:00,12/29/2015,08:30:00,FALSE,FALSE,12/29/2015,07:30,Nine2Six,,,,,,,"
[한식                     ]
시원한북어채국
삼곡밥
양념껫잎무침
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*초코도넛/딸기잼*버터
그린샐러드*키위D
우유/계란후라이
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,12/29/2015,11:30:00,12/29/2015,13:00:00,FALSE,FALSE,12/29/2015,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기사골부대찌개
차조밥
볼어묵메추리알조림
감자전
숙주미나리참깨나물
나트륨을줄인포기김치/석박지
1031kcal

[일품]
양송이크림파스타*마늘빵
스파이시해물스튜
반달감자튀김*케찹
비트무피클
나트륨을줄인포기김치/석박지
666kcal

[헬스&]









[Slunch]
크렌베리치킨샐러드세트(닭:국내산)
치킨머쉬룸샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
아이순믹스샐러드
씨리얼
망고D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,12/29/2015,17:30:00,12/29/2015,19:00:00,FALSE,FALSE,12/29/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기버섯불고기(소:호주산)
쌀밥
모짜렐라치즈계란말이
새송이야채볶음
오이양파무침
나트륨을줄인포기김치
1112kcal

[샐러드도시락]
크랜베리치킨샐러드세트(닭:국내산)

[플러스메뉴]
아이순믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,12/30/2015,07:30:00,12/30/2015,08:30:00,FALSE,FALSE,12/30/2015,07:30,Nine2Six,,,,,,,"
[한식                     ]
경상도식쇠고기무국(소:호주산)
삼곡밥
알감자조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*부시맥브레드/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,12/30/2015,11:30:00,12/30/2015,13:00:00,FALSE,FALSE,12/30/2015,11:30,Nine2Six,,,,,,,"
[한식]
닭다리살데리야끼야채볶음*깻잎채
(닭:브라질산)
흑향미밥
순두부김치찌개
 한식잡채
돌나물적양파무침*초장
나트륨을줄인포기김치/석박지
1028kcal

[일품]
김치가츠동[김치돈까스덮밥]
(돼지:국내산)                                 
팽이버섯된장국
쫄면야채무침
마카로니샐러드
나트륨을줄인포기김치/석박지
1274kcal

[헬스&]
모듬쌈밥 
무다시마국
통견과닭가슴살볶음 (닭:국내산)
구운두부영양부추무침
숙주나물
사과
나트륨줄인포기김치
892kcal

[Slunch]
불고기샐러드세트(소:호주산)
그릭치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
비타민믹스샐러드
견과류
케어플러스흑임자두유마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,12/30/2015,17:30:00,12/30/2015,19:00:00,FALSE,FALSE,12/30/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
매콤닭볶음탕(닭:국내산)
쌀밥
콩가루배추국
잡채어묵말이튀김
쑥갓생두부무침
나트륨을줄인포기김치
1252kcal

[샐러드도시락]
불고기샐러드세트(소:호주산)

[플러스메뉴]
비타민믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,12/31/2015,07:30:00,12/31/2015,08:30:00,FALSE,FALSE,12/31/2015,07:30,Nine2Six,,,,,,,"
[한식                     ]
사골우거지국(소:호주산)
삼곡밥
두부양념조림
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*토스트식빵/딸기잼*버터
그린샐러드*키위D
우유/계란후라이
햄구이

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,12/31/2015,11:30:00,12/31/2015,13:00:00,FALSE,FALSE,12/31/2015,11:30,Nine2Six,,,,,,,"
[한식]
[철판]콩불!콩나물불고기*파무침
(돼지:수입산)
쌀밥
시금치국
비엔나조랑떡야채볶음
삼색무쌈야채말이*냉채S
나트륨을줄인포기김치/석박지
1249kcal

[일품]







[헬스&]









[Slunch]




[플러스메뉴]




",FALSE,2,중간,보통,
저녁메뉴,12/31/2015,17:30:00,12/31/2015,19:00:00,FALSE,FALSE,12/31/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
아침메뉴,01/01/2016,07:30:00,01/01/2016,08:30:00,FALSE,FALSE,01/01/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]







[일품                       ]





[플러스메뉴]
신정
",FALSE,2,중간,보통,
점심메뉴,01/01/2016,11:30:00,01/01/2016,13:00:00,FALSE,FALSE,01/01/2016,11:30,Nine2Six,,,,,,,"
[한식]








[일품]







[헬스&]









[Slunch]




[플러스메뉴]




",FALSE,2,중간,보통,
저녁메뉴,01/01/2016,17:30:00,01/01/2016,19:00:00,FALSE,FALSE,01/01/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
