제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,01/25/2016,07:30:00,01/25/2016,08:30:00,FALSE,FALSE,01/25/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
매생이떡국
삼곡밥
두부양념조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*참깨롤빵/딸기잼*버터
그린샐러드*유자레몬D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,01/25/2016,11:30:00,01/25/2016,13:00:00,FALSE,FALSE,01/25/2016,11:30,Nine2Six,,,,,,,"
[한식]
한방양지탕*당면사리(소:호주산)
흑향미밥
해물잡채완자전*적양파부추겉절이
골뱅이야채무침 
견과류콩조림 
나트륨을줄인포기김치/석박지
940kcal

[일품]
참치김치볶음밥*계란후라이
무채어묵국
까르보나라떡볶이
단무지부추무침
나트륨을줄인포기김치/석박지
1045kcal

[헬스&]
현미닭가슴살우엉덮밥(닭:국내산)
무채국
버섯마늘샐러드
치아씨드발사믹드레싱
고구마오븐구이
나트륨줄인포기김치
사과
781kcal

[Slunch]
아몬드치킨샌드위치샐러드세트(닭:국내산)
오렌지치킨텐더샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
아이순믹스샐러드
씨리얼
케어플러스오디두유마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,01/25/2016,17:30:00,01/25/2016,19:00:00,FALSE,FALSE,01/25/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
돼지고기김치찌개(돼지:미국산)
쌀밥
꽁치한마리구이*레몬와사비장
청포묵미나리무침
콩나물들깨무침
나트륨을줄인포기김치
843kcal

[샐러드도시락]
아몬드치킨샌드위치샐러드세트(닭:국내산)

[플러스메뉴]
아이순믹스샐러드*견과류**오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,01/26/2016,07:30:00,01/26/2016,08:30:00,FALSE,FALSE,01/26/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
시원한북어채국
삼곡밥
깻잎양념무침
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니크로와상/딸기잼*버터
그린샐러드*유자레몬D
우유/계란후라이
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,01/26/2016,11:30:00,01/26/2016,13:00:00,FALSE,FALSE,01/26/2016,11:30,Nine2Six,,,,,,,"
[한식]
철판매콤닭갈비*고구마사리(닭:브라질산)
차조밥
두부김치국
햄계란전*케찹
치커리사과초무침
나트륨을줄인포기김치/석박지
1145kcal

[일품]
[즉석]직화 옛날짜장면(돼지:국내산)
새우야채볶음밥/계란파국
비빔만두
단무지&양파*춘장
나트륨을줄인포기김치/석박지
2070kcal

[헬스&]









[Slunch]
리코타칙피샐러드세트
레인보우튜나샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
적근대잎믹스샐러드
스위트콘*키드니빈
사우전D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,01/26/2016,17:30:00,01/26/2016,19:00:00,FALSE,FALSE,01/26/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
따끈한유부주머니우동
치즈김밥1/2/쌀밥
타코야끼
감자견과류샐러드
일식치자단무지*초생강
나트륨을줄인포기김치
2150kcal

[샐러드도시락]
리코타칙피샐러드세트

[플러스메뉴]
적근대잎믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,01/27/2016,07:30:00,01/27/2016,08:30:00,FALSE,FALSE,01/27/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
쇠고기두부탕국(소:호주산)
삼곡밥
알감자조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*부시맥브레드/딸기잼*버터
그린샐러드*유자레몬D
우유/스크램블에그
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,01/27/2016,11:30:00,01/27/2016,13:00:00,FALSE,FALSE,01/27/2016,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기심슨탕*라면사리
쌀밥/버터밥
야채계란말이*케찹
볼어묵맛살볶음
깐마늘마늘쫑무침
나트륨을줄인포기김치/석박지
1457kcal

[일품]
함박오므라이스*더블S덮밥
(돼지:국내산)
유부된장국
모닝빵콩가루무침
후르츠콘샐러드
나트륨을줄인포기김치/석박지
1397kcal

[헬스&]
율무오곡밥
무소스콩불고기
미역국
알배기배추쌈/저염토마토쌈장
우엉흑임자구이
시금치나물/귤
나트륨줄인포기김치
795kcal

[Slunch]
참깨불고기샐러드세트(소:호주산)
그릭치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
루꼴라믹스샐러드
견과류
케어플러스흑임자두유마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,01/27/2016,17:30:00,01/27/2016,19:00:00,FALSE,FALSE,01/27/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
매콤오징어낙지덮밥*조미김가루
(낙지:증국산)
콩나물된장국
야채계란찜
두부브로컬리탕수
미역줄기야채볶음
나트륨을줄인포기김치
905kcal

[샐러드도시락]
참깨불고기샐러드세트(소:호주산)

[플러스메뉴]
루꼴라믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,01/28/2016,07:30:00,01/28/2016,08:30:00,FALSE,FALSE,01/28/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
콩비지찌개(돼지:국내산)
삼곡밥
명엽채흑임자볶음
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니와플/딸기잼*버터
그린샐러드*유자레몬D
우유/계란후라이
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,01/28/2016,11:30:00,01/28/2016,13:00:00,FALSE,FALSE,01/28/2016,11:30,Nine2Six,,,,,,,"
[한식]
한방제육보쌈*삼색무쌈*파무침
(돼지:미국산)
기장밥
시금치된장국
두부구이*양념장
오이양파무침
나트륨을줄인포기김치/석박지
1054kcal

[일품]
고추참치마요라이스
맑은우동국물
소세지피자빵
오복채무침
나트륨을줄인포기김치/석박지
1000kcal

[헬스&]









[Slunch]
참치파프리카또띠아세트
레인보우치킨샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
사과채믹스샐러드
잡곡크루통
유자레몬D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,01/28/2016,17:30:00,01/28/2016,19:00:00,FALSE,FALSE,01/28/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
육개장칼국수(소:호주산)
쌀밥
해물파전
알감자조림
아삭이고추양파된장무침
나트륨을줄인포기김치
1171kcal

[샐러드도시락]
참치파프리카또띠아세트

[플러스메뉴]
사과채믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,01/29/2016,07:30:00,01/29/2016,08:30:00,FALSE,FALSE,01/29/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
사골우거지국(소:호주산)
삼곡밥
연근땅콩조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*유자레몬D
우유/스크램블에그
햄구이

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,01/29/2016,11:30:00,01/29/2016,13:00:00,FALSE,FALSE,01/29/2016,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기쇠고기된장찌개(소:미국산)
오곡밥
메추리알곤약조림
도토리묵야채무침
통깨건파래볶음
나트륨을줄인포기김치/석박지
935kcal

[일품]
나폴리탄스파게티/마늘빵
코카콜라/후리가게햄볶음밥
크림치즈샐러드피자
생오이피클*할라페뇨
나트륨을줄인포기김치/석박지
1120kcal

[헬스&]
현미오곡연잎밥 
무채다시마국
훈제오리포두부쌈
(오리(국내산)비프엑기스(우육:호주산))



건새우브로콜리볶음
무말랭이고춧잎무침
백김치
사과
803kcal

[Slunch]
아몬드치킨샐러드세트(닭:국내산)
치킨머쉬룸샐러드(닭:국내산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
베이비채소믹스샐러드
씨리얼
파인애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,01/29/2016,17:30:00,01/29/2016,19:00:00,FALSE,FALSE,01/29/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기얼큰동태탕(명태:러시아산)
쌀밥
섭산적구이(돼지:수입산,국산)
매생이전
돌나물*초고추장
나트륨을줄인포기김치
865kcal

[샐러드도시락]
아몬드치킨샐러드세트(닭:국내산)

[플러스메뉴]
베이비채소믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
