제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,05/29/2017,07:30:00,05/29/2017,08:30:00,FALSE,FALSE,05/29/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
삼색수제비국
쌀밥
우엉조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,05/29/2017,11:30:00,05/29/2017,13:00:00,FALSE,FALSE,05/29/2017,11:30,Nine2Six,,,,,,,"
[한식]
감자떡만두국
보리밥
오징어초무침
연근땅콩조림
건파래볶음
나트륨을줄인포기김치/석박지
643kcal

[일품]
고구마치즈돈까스*데미소스
후리가게밥/크림스프
마카로니콘샐러드
야채피클
나트륨을줄인포기김치/석박지
917kcal

[헬스&]
슈퍼오곡밥/시금치된장국
갈치고구마조림
씨앗견과계란말이
포두부피망볶음
오이나물
오렌지
나트륨줄인포기김치
802kcal

[Slunch]
햄에그클럽샌드위치
오렌지치킨텐더샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
적근대잎믹스샐러드
알새우칩
애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,05/29/2017,17:30:00,05/29/2017,19:00:00,FALSE,FALSE,05/29/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
신토불이떡볶이(feat핫도그)
어묵국
치즈김밥
야채튀김
단무지
나트륨을줄인포기김치
1144kcal

[샐러드도시락]
햄에그클럽샌드위치

[플러스메뉴]
적근대잎믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,05/30/2017,07:30:00,05/30/2017,08:30:00,FALSE,FALSE,05/30/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
사골우거지국
쌀밥
미니방게조림
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*블루베리와플/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,05/30/2017,11:30:00,05/30/2017,13:00:00,FALSE,FALSE,05/30/2017,11:30,Nine2Six,,,,,,,"
[한식]
묵은지돈육불고기*데친두부
기장밥
뚝배기강된장찌개
완자어묵새송이볶음
미나리무생채
나트륨을줄인포기김치/석박지
906kcal

[일품]
미소라멘
멸치김가루주먹밥
생선까스*타르타르S
치자단무지*락교
나트륨을줄인포기김치/석박지
1097kcal

[헬스&]









[Slunch]
BLT샌드위치 
아보카도콥샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
아이순믹스샐러드
콘후레이크(콘후레이크)
키위D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,05/30/2017,17:30:00,05/30/2017,19:00:00,FALSE,FALSE,05/30/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
훈제오리*무쌈
쌀밥
들깨미역국
비엔나소시지볶음*케찹
모듬쌈[상추,깻잎,오이스틱]
나트륨을줄인포기김치
985kcal

[샐러드도시락]
BLT샌드위치 

[플러스메뉴]
아이순믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,05/31/2017,07:30:00,05/31/2017,08:30:00,FALSE,FALSE,05/31/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
쇠고기두부탕국
쌀밥
오이지무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
햄구이

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,05/31/2017,11:30:00,05/31/2017,13:00:00,FALSE,FALSE,05/31/2017,11:30,Nine2Six,,,,,,,"
[한식]
도가니설렁탕*소면사리
흑미밥
오미산적
도토리묵야채무침
콩나물무침
나트륨을줄인포기김치/석박지
1258kcal

[일품]
김치가츠동
미니우동
타코야끼
무비트피클
나트륨을줄인포기김치/석박지
1745kcal

[헬스&]
수삼뿌리채소밥/간장양념장
맑은우동국물
갈릭소스 영양부추떡갈비
참깨소스연두부샐러드
통들깨멸치볶음
노각무침/방울토마토
나트륨줄인포기김치
772kcal

[Slunch]
햄치즈파니니샌드위치
아보카도쉬림프샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
라디치오믹스샐러드
잡곡크루통
참깨마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,05/31/2017,17:30:00,05/31/2017,19:00:00,FALSE,FALSE,05/31/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
불낙볶음
쌀밥
뚝배기콩나물해장국
부드러운야채계란찜
비름나물
나트륨을줄인포기김치
753kcal

[샐러드도시락]
햄치즈파니니샌드위치

[플러스메뉴]
라디치오믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,06/01/2017,07:30:00,06/01/2017,08:30:00,FALSE,FALSE,06/01/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
아욱된장국
쌀밥
옛날소시지전
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,06/01/2017,11:30:00,06/01/2017,13:00:00,FALSE,FALSE,06/01/2017,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기참치김치찌개
차조밥
감자브로콜리베이컨볶음
녹두전*양파간장
조미김구이
나트륨을줄인포기김치/석박지
890kcal

[일품]
빠네로제스파게티
스파클링오렌지쥬스
치킨텐더샐러드*허니S
생오이피클*할라페뇨
나트륨을줄인포기김치/석박지
1146kcal

[헬스&]









[Slunch]
햄에그클럽샌드위치
모닝빵샌드위치
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
황메밀싹믹스샐러드
잡곡크루통
사우전아일랜드D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,06/01/2017,17:30:00,06/01/2017,19:00:00,FALSE,FALSE,06/01/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
왕새우튀김우동
참치김밥/쌀밥
연두부토마토샐러드
단호박고구마견과류맛탕

나트륨을줄인포기김치
2040kcal

[샐러드도시락]
햄에그클럽샌드위치

[플러스메뉴]
황메밀싹믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
