제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,11/14/2016,07:30:00,11/14/2016,08:30:00,FALSE,FALSE,11/14/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
꼬맹이만두국
쌀밥
후랑크케찹볶음(닭:국산,돼지:국산)
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*요거트D
우유/스크램블에그
고구마샐러드

",FALSE,2,중간,보통,
점심메뉴,11/14/2016,11:30:00,11/14/2016,13:00:00,FALSE,FALSE,11/14/2016,11:30,Nine2Six,,,,,,,"
[한식]
곤드레밥&반반불고기
(돼지:미국산)
미역국
두부버섯구이(대두:수입산)
오복채무침

나트륨을줄인포기김치/석박지
1403kcal

[일품]
허브순살치킨까스*양념치킨소스
(닭:국산)
검정깨밥/크루통크림스프
웨지감자튀김/추억의사라다빵
오이피클&할라피뇨
나트륨을줄인포기김치/석박지
1481kcal

[헬스&]
귀리울금밥/미역국
시래기고등어찜(고등어:국산)
브로콜리스크램블에그
쇠고기피망볶음(소:호주산)
씨앗애호박나물
포도
나트륨을줄인포기김치
901kcal

[Slunch]
자몽샐러리콥샐러드(닭:국산)
오렌지치킨텐더샐러드(닭:국산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
적겨자잎믹스샐러드
알새우칩
애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,11/14/2016,17:30:00,11/14/2016,19:00:00,FALSE,FALSE,11/14/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기라볶이
맑은우동국물
충무김밥*오징어무침(오징어:칠레산)
군만두
단무지무침
나트륨을줄인포기김치
1182kcal

[샐러드도시락]
자몽샐러리콥샐러드(닭:국산)

[플러스메뉴]
적겨자잎믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,11/15/2016,07:30:00,11/15/2016,08:30:00,FALSE,FALSE,11/15/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
시원한북어채국
쌀밥
양념껫잎무침
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니와플/딸기잼*버터
그린샐러드*요거트D
우유/계란후라이
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,11/15/2016,11:30:00,11/15/2016,13:00:00,FALSE,FALSE,11/15/2016,11:30,Nine2Six,,,,,,,"
[한식]
유부어묵전골(오징어:국산)
차조밥/와사비장
우불고기*대파채(소:호주산)
탕평채
브로콜리*오이*당근&초장
나트륨을줄인포기김치/석박지
1179kcal

[일품]
[직화]짜장면(돼지:국산)
짬뽕국/계란볶음밥
고추잡채*꽃빵(돼지:스페인산)
단무지*양파&춘장
나트륨을줄인포기김치/석박지
1750kcal

[헬스&]









[Slunch]
치킨케이쥰랩샐러드(닭:국산)
치킨머쉬룸샐러드(닭:국산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
파프리카믹스샐러드
믹스견과
망고요거트D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,11/15/2016,17:30:00,11/15/2016,19:00:00,FALSE,FALSE,11/15/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
파채등심돈까스*일식's(돼지:국산)                   
검정깨밥/단호박스프
사과잼샌드위치
매쉬드포테이토
오이피클
나트륨을줄인포기김치
1144

[샐러드도시락]
치킨케이쥰랩샐러드(닭:국산)

[플러스메뉴]
파프리카믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,11/16/2016,07:30:00,11/16/2016,08:30:00,FALSE,FALSE,11/16/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
감자미역국
쌀밥
무말랭이무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*요거트D
우유/스크램블에그
햄구이(돼지:국산,닭:국산)

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,11/16/2016,11:30:00,11/16/2016,13:00:00,FALSE,FALSE,11/16/2016,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기7분김치찌개*조미김가루
(돼지:미국산,대두:수입산)
쌀밥
오징어참나물무침(오징어:칠레산)
미트볼채소조림(돼지:수입산,국산,닭:국산)
풋고추된장무침
나트륨을줄인포기김치/석박지
988kcal

[일품]
멘츠카츠오므라이스(돼지:국산,소:호주산)
유부된장국
과일요거트샐러드
무비트피클
나트륨을줄인포기김치/석박지
1050kcal

[헬스&]
모듬버섯덮밥/유부된장국
샤브샤브샐러드(소:호주산)
씨겨자레몬드레싱
늙은호박고구마전
건새우마늘쫑볶음
사과
나트륨을줄인포기김치
952kcal

[Slunch]
베이글치킨레몬샐러드(닭:국산)
그릭치킨샐러드(닭:국산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
컬리플라워믹스샐러드
잡곡크루통
참깨마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,11/16/2016,17:30:00,11/16/2016,19:00:00,FALSE,FALSE,11/16/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
참치김치볶음덮밥
얼갈이된장국
새우까스*타르소스
토마토브루게스타
오복채무침
나트륨을줄인포기김치
1159kcal

[샐러드도시락]
베이글치킨레몬샐러드(닭:국산)

[플러스메뉴]
컬리플라워믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,11/17/2016,07:30:00,11/17/2016,08:30:00,FALSE,FALSE,11/17/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
쇠고기두부탕국(소:호주산,대두:수입산)
쌀밥
맛살피망볶음(명태:미국산,오징어:페루산)
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*요거트D
우유/계란후라이
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,11/17/2016,11:30:00,11/17/2016,13:00:00,FALSE,FALSE,11/17/2016,11:30,Nine2Six,,,,,,,"
[한식]
떡만두국
검은콩밥
참치두부조림(대두:수입산)
해파리냉채(명태:미국산,오징어:페루산)
치커리오이겉절이
나트륨을줄인포기김치/석박지
1043kcal

[일품]
돈까스카레*양배추샐러드(돼지:국산)
후리가게볶음밥
미니우동(명태:미국산,오징어:페루산)
야채피클
나트륨을줄인포기김치/석박지
1096kcal

[헬스&]









[Slunch]
카프라제치아바타샌드위치
(돼지:국산,닭:국산)
리코타칙피샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)

잔치국수

",FALSE,2,중간,보통,
저녁메뉴,11/17/2016,17:30:00,11/17/2016,19:00:00,FALSE,FALSE,11/17/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기강된장찌개(대두:수입산)
쌀밥
스팸구이*케찹(돼지:국산)
[즉석]한식잡채
파래김구이*양념장
나트륨을줄인포기김치
819kcal

[샐러드도시락]
카프라제치아바타샐러드(돼지:국산,닭:국산)

[플러스메뉴]
라디치오믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
