제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,03/13/2017,07:30:00,03/13/2017,08:30:00,FALSE,FALSE,03/13/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
북어채해장국
쌀밥
어묵볶음
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/13/2017,11:30:00,03/13/2017,13:00:00,FALSE,FALSE,03/13/2017,11:30,Nine2Six,,,,,,,"
[한식]
차돌박이된장찌개
차조밥
새우완자조림
메추리알곤약조림
파래김&양념장
나트륨을줄인포기김치/석박지
978kcal

[일품]
돈까스정식
크림스프/검정꺠밥
해쉬브라운
오이피클&할라피뇨
나트륨을줄인포기김치/석박지
1306kcal

[헬스&]
달래새싹현미비빔밥/감식초장
두부된장국
봄동두부전
쇠고기피망볶음
연근유자청피클
바나나1/3
나트륨을줄인포기김치
855kcal

[Slunch]
햄에그클럽샌드위치
프로테인빈샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
적겨자잎믹스샐러드
알새우칩
애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/13/2017,17:30:00,03/13/2017,19:00:00,FALSE,FALSE,03/13/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기콩비지찌개
쌀밥
삼치데리야끼구이
감자햄조림
무말랭이무침
나트륨을줄인포기김치
848kcal

[샐러드도시락]
햄에그클럽샌드위치

[플러스메뉴]
적겨자잎믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/14/2017,07:30:00,03/14/2017,08:30:00,FALSE,FALSE,03/14/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
미역국
쌀밥
꺳잎무침
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니와플/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/14/2017,11:30:00,03/14/2017,13:00:00,FALSE,FALSE,03/14/2017,11:30,Nine2Six,,,,,,,"
[한식]
만두전골
흑미밥
너비아니데리야끼조림
도토리묵*양념장
매실청오이지무침
나트륨을줄인포기김치/석박지
880kcal

[일품]
탄탄면
김가루주먹밥
깐풍육
치자단무지&락교
나트륨을줄인포기김치/석박지
1353kcal

[헬스&]









[Slunch]
BLT샌드위치
아보카도콥샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
레디쉬믹스샐러드
콘후레이크(초코첵스)
흑임자소스D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/14/2017,17:30:00,03/14/2017,19:00:00,FALSE,FALSE,03/14/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기순두부찌개
쌀밥
새송이계란조림
명엽채흑임자무침
콩나물무침
나트륨을줄인포기김치
808kcal

[샐러드도시락]
BLT샌드위치

[플러스메뉴]
레디쉬믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/15/2017,07:30:00,03/15/2017,08:30:00,FALSE,FALSE,03/15/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]







[일품                       ]





",FALSE,2,중간,보통,
점심메뉴,03/15/2017,11:30:00,03/15/2017,13:00:00,FALSE,FALSE,03/15/2017,11:30,Nine2Six,,,,,,,"
[한식]








[일품]







[헬스&]









[Slunch]




[플러스메뉴]




",FALSE,2,중간,보통,
저녁메뉴,03/15/2017,17:30:00,03/15/2017,19:00:00,FALSE,FALSE,03/15/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
아침메뉴,03/16/2017,07:30:00,03/16/2017,08:30:00,FALSE,FALSE,03/16/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
돼지고기감자고추장찌개
쌀밥
마늘쫑햄볶음
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
