제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,09/07/2015,07:30:00,09/07/2015,08:30:00,FALSE,FALSE,09/07/2015,07:30,Nine2Six,,,,,,,"
[한식                     ]
사골우거지국(소:호주산,뉴질랜드산)
삼곡밥
명엽채볶음
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥                                 /나트륨을줄인포기김치

[일품                       ]
곡물식빵*부시맥브레드/딸기잼*버터
그린샐러드*애플D
우유/스크램블에그
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,09/07/2015,11:30:00,09/07/2015,13:00:00,FALSE,FALSE,09/07/2015,11:30,Nine2Six,,,,,,,"
[한식]
제육김치두루치기*두부찜                                      (돼지:미국산)
흑향미밥
맑은콩나물국
감자전
부추양파겉절이
나트륨을줄인포기김치/석박지
871kcal

[일품]
수제함박오므라이스                                (돼지:국내산)
유부된장국
미니샐러드파스타
적채무비트피클
나트륨을줄인포기김치/석박지
1305kcal

[헬스&]
퀴노아현미밥
저염콩나물국
마늘쫑쇠고기볶음(소:호주산)
두부선
애호박나물
파인애플
나트륨을줄인포기김치
681kcal

[Slunch]
닭가슴살감자보트세트(닭:국내산)
레인보우치킨샐러드(닭:국내산)
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
노란파프리카믹스샐러드
씨리얼
케어플러스키위D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,09/07/2015,17:30:00,09/07/2015,19:00:00,FALSE,FALSE,09/07/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
참치마요라이스
맑은우동국물
핫도그*케찹
쫄면야채무침
천도복숭아
나트륨을줄인포기김치
1294kcal

[샐러드도시락]
닭가슴살감자보트세트(닭:국내산)

[플러스메뉴]
노란파프리카믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,09/08/2015,07:30:00,09/08/2015,08:30:00,FALSE,FALSE,09/08/2015,07:30,Nine2Six,,,,,,,"
[한식                     ]
참치김치찌개
삼곡밥
볼어묵풋고추볶음(갈치:수입산)
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥                                      /나트륨을줄인포기김치

[일품                       ]
토스트식빵*초코도넛/딸기잼*버터
그린샐러드*애플D
우유/계란후라이
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,09/08/2015,11:30:00,09/08/2015,13:00:00,FALSE,FALSE,09/08/2015,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기매콤닭볶음탕*떡사리                        (닭:국내산)
쌀밥
근대국
옛날소시지전*케찹
들깨소스야채무침
나트륨을줄인포기김치/석박지
1141kcal

[일품]
잔치국수
충무김밥*충무식오징어무침
모듬춘권*칠리S
오복채무침
나트륨을줄인포기김치/석박지
1064kcal

[헬스&]









[Slunch]
바질페스토파스타샐러드세트
오렌지치킨텐더샐러드(닭:국내산)
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
루꼴라믹스샐러드
스위트콘*키드니빈
오디요거트D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,09/08/2015,17:30:00,09/08/2015,19:00:00,FALSE,FALSE,09/08/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
규동[일본식쇠고기덮밥]                                   (소:호주산)
팽이버섯된장국
야채크로켓*케찹
락교*초생강
오렌지 
나트륨을줄인포기김치
1171kcal

[샐러드도시락]
바질페스토파스타샐러드세트

[플러스메뉴]
루꼴라믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,09/09/2015,07:30:00,09/09/2015,08:30:00,FALSE,FALSE,09/09/2015,07:30,Nine2Six,,,,,,,"
[한식                     ]
시원한북어채국
삼곡밥
맛살피망볶음
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥                                         /나트륨을줄인포기김치

[일품                       ]
토스트식빵*잡곡모닝빵/딸기잼*버터
그린샐러드*애플D
우유/스크램블에그
햄구이

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,09/09/2015,11:30:00,09/09/2015,13:00:00,FALSE,FALSE,09/09/2015,11:30,Nine2Six,,,,,,,"
[한식]
평양식왕만두국
차조밥
섭산적구이(돼지:수입산,국내산)
호박당근볶음
무말랭이
나트륨을줄인포기김치/석박지
1083kcal

[일품]
베이컨김치볶음밥*계란후라이
무채국
생선까스*타르타르S
파프리카콘샐러드
나트륨을줄인포기김치/석박지
1189kcal

[헬스&]
닭가슴살스테이크                                              (닭:브라질산)
차수수현미밥
저염무채국
메추리알곤약조림
다시마회*나트륨줄인초고추장
바나나
나트륨을줄인포기김치
673kcal

[Slunch]
불고기샐러드세트(소:호주산)
레인보우튜나샐러드
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
무순믹스샐러드
잡곡크루통
케어플러스두유렌치D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,09/09/2015,17:30:00,09/09/2015,19:00:00,FALSE,FALSE,09/09/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
[즉석]냄비닭칼국수                            (닭:브라질산,국내산)
쌀밥
잡채말이어묵깐풍(갈치:수입산)
도토리묵야채무침
아삭이고추된장무침
배추겉절이김치
1257kcal

[샐러드도시락]
불고기샐러드세트(소:호주산)

[플러스메뉴]
무순믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,09/10/2015,07:30:00,09/10/2015,08:30:00,FALSE,FALSE,09/10/2015,07:30,Nine2Six,,,,,,,"
[한식                     ]
감자미역국
삼곡밥
두부양념조림
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥                                              /나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니와플/딸기잼*버터
그린샐러드*애플D
우유/계란후라이
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
