제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,08/21/2017,07:30:00,08/21/2017,08:30:00,FALSE,FALSE,08/21/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
경상도식쇠고기무국
쌀밥
쥐어채무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/쌀밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*키위D
우유/햄구이
단호박샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,08/21/2017,11:30:00,08/21/2017,13:00:00,FALSE,FALSE,08/21/2017,11:30,Nine2Six,,,,,,,"
[한식]
유부어묵전골
흑향미밥
떡갈비조랑떡야채볶음
콩나물미나리무침
와사비장
나트륨을줄인포기김치/석박지
770kcal

[일품]
비프머쉬룸라이스
미소시루
방울토마토콘샐러드
일식치자단무지 
나트륨을줄인포기김치/석박지
1503kcal

[헬스&]
찰보리현미밥
어묵국
꽈리고추돼지고기찜
별미엔쵸비모듬쌈
건새우마늘쫑볶음
오이콩나물냉채
콜라비깍두기/오렌지
846kcal

[Slunch]
햄치즈파니니샌드위치
오렌지치킨텐더샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
라디치오믹스샐러드
새우칩
애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,08/21/2017,17:30:00,08/21/2017,19:00:00,FALSE,FALSE,08/21/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
[철판] 모듬생선구이 [꽁치,삼치]
단호박흑미영양밥 
아욱된장국
오이양파무침
쪽파양념장 
나트륨을줄인포기김치
642kcal

[샐러드도시락]
햄에그클럽샌드위치

[플러스메뉴]
라디치오믹스샐러드*새우칩*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,08/22/2017,07:30:00,08/22/2017,08:30:00,FALSE,FALSE,08/22/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
조랑떡미역국
쌀밥
미트볼케찹조림
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/쌀밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*블루베리와플/딸기잼*버터
그린샐러드*키위D
우유/햄구이
씨리얼

",FALSE,2,중간,보통,
점심메뉴,08/22/2017,11:30:00,08/22/2017,13:00:00,FALSE,FALSE,08/22/2017,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기참치감자찌개
스팸얹은쌀밥
감자전&고추장전
조미김구이

나트륨을줄인포기김치/석박지
949kcal

[일품]
스테이크레드크림파스타
웰치스
피자토스트
야채피클
나트륨을줄인포기김치/석박지
1242kcal

[헬스&]









[Slunch]
BLT샌드위치
모닝빵샌드위치세트
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
컬리플라워(+적채)믹스샐러드
콘후레이크(초코첵스)
케어플러스키위D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,08/22/2017,17:30:00,08/22/2017,19:00:00,FALSE,FALSE,08/22/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
토핑이몽글몽글카레라이스
맑은우동국물
순두부*방울토마토
치자단무지&락교

나트륨을줄인포기김치
1167kcal

[샐러드도시락]
BLT샌드위치

[플러스메뉴]
컬리플라워믹스샐러드*씨리얼*오리엔탈
",FALSE,2,중간,보통,
아침메뉴,08/23/2017,07:30:00,08/23/2017,08:30:00,FALSE,FALSE,08/23/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
시래기된장국
쌀밥
동그랑땡전
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/쌀밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*키위D
우유/햄구이
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,08/23/2017,11:30:00,08/23/2017,13:00:00,FALSE,FALSE,08/23/2017,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기돈까스나베
차조밥
미니새송이파프리카볶음
치자단무지&할라피뇨

나트륨을줄인포기김치/석박지
1372kcal

[일품]
짜장덮밥
짬뽕국
매콤닭강정
짜사이무침
나트륨을줄인포기김치/석박지
1364kcal

[헬스&]
율무오곡밥
무채된장국
닭가슴살허브떡갈비
씨앗멸치볶음
참나물무침
나트륨줄인포기김치
포도
765kcal

[Slunch]
햄치즈파니니샌드위치
쇠고기브리또샐러드세트
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
황메밀싹믹스샐러드
잡곡크루통
참깨마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,08/23/2017,17:30:00,08/23/2017,19:00:00,FALSE,FALSE,08/23/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
불고기필라프
시원한김치국
자켓포테이토
오이피클&할라피뇨

나트륨을줄인포기김치
777kcal

[샐러드도시락]
햄치즈파니니샌드위치

[플러스메뉴]
황메밀싹믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,08/24/2017,07:30:00,08/24/2017,08:30:00,FALSE,FALSE,08/24/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
나가사키어묵탕
쌀밥
비엔나볶음*케찹
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/쌀밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*키위D
우유/햄구이
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,08/24/2017,11:30:00,08/24/2017,13:00:00,FALSE,FALSE,08/24/2017,11:30,Nine2Six,,,,,,,"
[한식]
7분김치찌개*조미김가루
수수밥
부들어묵볶음
도토리묵야채무침

나트륨을줄인포기김치/석박지
893kcal

[일품]
쟁반막국수
육수
바싹불고기
새콤달콤무생채
나트륨을줄인포기김치/석박지
914kcal

[헬스&]









[Slunch]
햄에그클럽샌드위치
아보카도쉬림프샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
보리밥,무생채,김가루,열무김치
강된장

",FALSE,2,중간,보통,
저녁메뉴,08/24/2017,17:30:00,08/24/2017,19:00:00,FALSE,FALSE,08/24/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
베이컨김치볶음밥
유부된장국
잡채말이어묵튀김&허니
무비트피클

나트륨을줄인포기김치
1047kcal

[샐러드도시락]
햄에그클럽샌드위치

[플러스메뉴]
비타민믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,08/25/2017,07:30:00,08/25/2017,08:30:00,FALSE,FALSE,08/25/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
사골무국+당면
쌀밥
무말랭이무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/쌀밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*초코도넛/딸기잼*버터
그린샐러드*키위D
우유/햄구이
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,08/25/2017,11:30:00,08/25/2017,13:00:00,FALSE,FALSE,08/25/2017,11:30,Nine2Six,,,,,,,"
[한식]
오삼불고기덮밥
맑은콩나물국
감자조림
오이양파무침

나트륨을줄인포기김치/석박지
457kcal

[일품]
김치말이냉국수
참치마요주먹밥
메밀전병*부추겉절이
냉면김치
나트륨을줄인포기김치/석박지
1135kcal

[헬스&]
모듬쌈밥 
맑은콩나물국
통견과닭가슴살볶음 
구운두부영양부추무침
숙주나물
나트륨줄인포기김치
사과
864kcal

[Slunch]
햄치즈파니니샌드위치
GET HEALTH 샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
파프리카믹스샐러드
스위트콘*키드니빈
유자레몬D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,08/25/2017,17:30:00,08/25/2017,19:00:00,FALSE,FALSE,08/25/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
얼큰순대국밥 
쌀밥
두부구이*양념장
풋고추된장무침
부추겉절이
나트륨을줄인포기김치
1510kcal

[샐러드도시락]
햄치즈파니니샌드위치

[플러스메뉴]
파프리카믹스샐러드*모듬콩*오리엔탈D
",FALSE,2,중간,보통,
