제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,02/27/2017,07:30:00,02/27/2017,08:30:00,FALSE,FALSE,02/27/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
콩나물김치국
쌀밥
옛날소시지전
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,02/27/2017,11:30:00,02/27/2017,13:00:00,FALSE,FALSE,02/27/2017,11:30,Nine2Six,,,,,,,"
[한식]
한방양지탕
흑향미밥
갈비산적야채볶음
무채오징어젓갈
브로콜리*초장
나트륨을줄인포기김치/석박지
882kcal

[일품]
떡볶이돈까스
후라가게밥/미역두부된장국
비엔나케익*케찹
무비트피클
나트륨을줄인포기김치/석박지
1256kcal

[헬스&]
단호박오곡영양밥
미역두부된장국
연근돈사태찜
매생이계란말이
유채겉절이
통들깨멸치볶음
나트륨줄인포기김치/토마토
838kcal

[Slunch]
햄에그클럽샌드위치
베이글치킨레몬샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
적겨자잎믹스샐러드
알새우칩
애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,02/27/2017,17:30:00,02/27/2017,19:00:00,FALSE,FALSE,02/27/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
크림파스타
감자스프
마르게리타피자
오이피클*할라피뇨

나트륨을줄인포기김치
1176kcal

[샐러드도시락]
햄에그클럽샌드위치

[플러스메뉴]
적겨자잎믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,02/28/2017,07:30:00,02/28/2017,08:30:00,FALSE,FALSE,02/28/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
북어채해장국
쌀밥
통깨검은콩조림
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니와플/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,02/28/2017,11:30:00,02/28/2017,13:00:00,FALSE,FALSE,02/28/2017,11:30,Nine2Six,,,,,,,"
[한식]
차돌박이순두부찌개
차조밥
고추장제육볶음
녹두빈대떡
양배추*오이*당근*쌈장
나트륨을줄인포기김치/석박지
1137kcal

[일품]
나가사끼짬뽕
계란볶음밥
탕수육유린기
단무지
나트륨을줄인포기김치/석박지
1156kcal

[헬스&]









[Slunch]
BLT샌드위치
아보카도콥샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
레디쉬믹스샐러드
콘후레이크(초코첵스)
참깨소스D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,02/28/2017,17:30:00,02/28/2017,19:00:00,FALSE,FALSE,02/28/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
참치김치덮밥
팽이버섯된장국
꽃맛살샐러드
고구마맛탕
오복채무침
나트륨을줄인포기김치
939kcal

[샐러드도시락]
BLT샌드위치

[플러스메뉴]
라디치오믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/01/2017,07:30:00,03/01/2017,08:30:00,FALSE,FALSE,03/01/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]







[일품                       ]





",FALSE,2,중간,보통,
점심메뉴,03/01/2017,11:30:00,03/01/2017,13:00:00,FALSE,FALSE,03/01/2017,11:30,Nine2Six,,,,,,,"
[한식]








[일품]







[헬스&]









[Slunch]




[플러스메뉴]




",FALSE,2,중간,보통,
저녁메뉴,03/01/2017,17:30:00,03/01/2017,19:00:00,FALSE,FALSE,03/01/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
아침메뉴,03/02/2017,07:30:00,03/02/2017,08:30:00,FALSE,FALSE,03/02/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
호박고추장찌개
쌀밥
쥐어채무침
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/02/2017,11:30:00,03/02/2017,13:00:00,FALSE,FALSE,03/02/2017,11:30,Nine2Six,,,,,,,"
[한식]
돈육김치찌개
쌀밥
메추리알곤약조림
견과류멸치볶음
콩나물무침
배추겉절이김치/석박지
799kcal

[일품]
가라아게마요덮밥
유부우동국물
실곤약무침
모듬채소피클
배추겉절이김치/석박지
1104kcal

[헬스&]









[Slunch]
햄에그클럽샌드위치
쿠스쿠스닭가슴살샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
파프리카믹스샐러드
잡곡크루통
망고요거트D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/02/2017,17:30:00,03/02/2017,19:00:00,FALSE,FALSE,03/02/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
함박스테이크덮밥
시금치된장국
메가크런치
무비트피클

나트륨을줄인포기김치
874kcal

[샐러드도시락]
햄에그클럽샌드위치

[플러스메뉴]
황메밀싹믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,03/03/2017,07:30:00,03/03/2017,08:30:00,FALSE,FALSE,03/03/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
얼큰한콩나물국
쌀밥
두부구이*양념장
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*부시맥브레드/딸기잼*버터
그린샐러드*키위D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,03/03/2017,11:30:00,03/03/2017,13:00:00,FALSE,FALSE,03/03/2017,11:30,Nine2Six,,,,,,,"
[한식]
쇠고기미역국
보리밥
뼈없는닭갈비
어묵볶음
오이양파무침
나트륨을줄인포기김치/석박지
925kcal

[일품]
허브통살치킨까스
후리가게밥/크림스프
콩도너츠
야채피클
나트륨을줄인포기김치/석박지
1123kcal

[헬스&]
모듬쌈밥 /미역국
매실불고기참나물냉채
두부계란지짐
숙주나물
씨앗멸치볶음
나트륨줄인포기김치
사과
893kcal

[Slunch]
BLT샌드위치
불고기샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
베이비채소믹스샐러드
스위트콘*키드니빈
유자레몬D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,03/03/2017,17:30:00,03/03/2017,19:00:00,FALSE,FALSE,03/03/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
오삼불고기덮밥
아욱된장국
야채계란찜
풋고추된장무침
식혜
나트륨을줄인포기김치
871kcal

[샐러드도시락]
BLT샌드위치

[플러스메뉴]
베이비채소믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
