제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,11/28/2016,07:30:00,11/28/2016,08:30:00,FALSE,FALSE,11/28/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
참치김치찌개(대두:수입산)
쌀밥
명엽채무침
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*블루베리파이/딸기잼*버터
그린샐러드*유자레몬D
우유/스크램블에그
고구마샐러드

",FALSE,2,중간,보통,
점심메뉴,11/28/2016,11:30:00,11/28/2016,13:00:00,FALSE,FALSE,11/28/2016,11:30,Nine2Six,,,,,,,"
[한식]
곤드레밥&반반불고기*모듬채소겉절이
(돼지:수입산,미국산)
미역국
두부버섯구이(대두:수입산)
매실청오이지무침
들깨양념장
나트륨을줄인포기김치/석박지
1355kcal

[일품]
떡볶이돈까스(돼지:국산)
검정깨밥/팽이버섯된장국
마카로니콘샐러드
오이피클&할라피뇨
나트륨을줄인포기김치/석박지
1207kcal

[헬스&]
귀리울금밥/미역국
고등어무조림(고등어:국산)
브로콜리스크램블에그
쇠고기피망볶음(소:호주산)
씨앗애호박나물
포도
나트륨을줄인포기김치
889kcal

[Slunch]
자몽샐러리콥샐러드(닭:국산)
오렌지치킨텐더샐러드(닭:국산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
적근대잎믹스샐러드
알새우칩
파인애플D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,11/28/2016,17:30:00,11/28/2016,19:00:00,FALSE,FALSE,11/28/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
[즉석전]바삭바삭베이컨녹두전
(베이컨:미국산)
쌀밥
단호박영양밥*들깨양념장
호박고추장찌개(대두:수입산)
비엔나볶음*케찹(닭:국산,돼지:수입산,국산)
나트륨을줄인포기김치
1263kcal

[샐러드도시락]
자몽샐러리콥샐러드(닭:국산)

[플러스메뉴]
적근대잎믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,11/29/2016,07:30:00,11/29/2016,08:30:00,FALSE,FALSE,11/29/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
감자미역국
쌀밥
미트볼케찹조림(돼지:수입산,국산,닭:국산)
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니와플/딸기잼*버터
그린샐러드*유자레몬D
우유/계란후라이
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,11/29/2016,11:30:00,11/29/2016,13:00:00,FALSE,FALSE,11/29/2016,11:30,Nine2Six,,,,,,,"
[한식]
유부어묵전골(오징어:국산)
차조밥/와사비장
돼지고기메추리알장조림(돼지:국산)
탕평채
브로콜리&초장
나트륨을줄인포기김치/석박지
1212kcal

[일품]
[즉석]차돌박이짬뽕
(오징어:칠레산,소:미국산)
계란볶음밥
수제탕수육(돼지:스페인산)
단무지*양파&춘장
나트륨을줄인포기김치/석박지
1283kcal

[헬스&]









[Slunch]
치킨케이쥰랩샐러드(닭:국산)
치킨머쉬룸샐러드(닭:국산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
플레인요플레&토핑
믹스견과,후르츠링
초코볼,후레이크
",FALSE,2,중간,보통,
저녁메뉴,11/29/2016,17:30:00,11/29/2016,19:00:00,FALSE,FALSE,11/29/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
불고기&치킨또르띠아*살사소스
(소:호주산,닭:국산)
콜라
감자튀김*칠리소스(소:호주산)
코오슬로
오이피클&할라피뇨
나트륨을줄인포기김치
1392kcal

[샐러드도시락]
치킨케이쥰랩샐러드(닭:국산)

[플러스메뉴]
파프리카믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,11/30/2016,07:30:00,11/30/2016,08:30:00,FALSE,FALSE,11/30/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
얼갈이된장국
쌀밥
통조림꽁치무조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*유자레몬D
우유/스크램블에그
햄구이(돼지:국산,닭:국산)

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,11/30/2016,11:30:00,11/30/2016,13:00:00,FALSE,FALSE,11/30/2016,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기만두전골&우동사리
기장밥
계란장조림
쥐어채무침(갈치:국산)
쑥갓두부무침(대두:수입산)
나트륨을줄인포기김치/석박지
957kcal

[일품]
자이언트미트볼스파게티
(돼지:국산)
스프라이트/후리가게밥
멕시칸샐러드(돼지:국산,닭:국산)
야채피클
나트륨을줄인포기김치/석박지
1306kcal

[헬스&]
대추오곡보혈밥/무채된장국
쇠고기두부적(소:호주산,대두:수입산)
팽이버섯겨자채
밤메추리알조림
고들빼기무침
귤
나트륨을줄인포기김치
885kcal

[Slunch]
베이글치킨레몬샐러드(닭:국산)
그릭치킨샐러드(닭:국산)
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
파프리카믹스샐러드
잡곡크루통
참깨마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,11/30/2016,17:30:00,11/30/2016,19:00:00,FALSE,FALSE,11/30/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
수제떡갈비*영양부추겉절이
(돼지:미국산,소:호주산)
쌀밥
뚝배기콩비지찌개(대두:수입산)
가지파프리카볶음
콩나물무침
나트륨을줄인포기김치
1004kcal

[샐러드도시락]
베이글치킨레몬샐러드(닭:국산)

[플러스메뉴]
적채무순믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,12/01/2016,07:30:00,12/01/2016,08:30:00,FALSE,FALSE,12/01/2016,07:30,Nine2Six,,,,,,,"
[한식                     ]
쇠고기두부탕국(소:호주산,대두:수입산)
쌀밥
양념꺳잎무침
계란후라이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*미니크로와상/딸기잼*버터
그린샐러드*유자레몬D
우유/계란후라이
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,12/01/2016,11:30:00,12/01/2016,13:00:00,FALSE,FALSE,12/01/2016,11:30,Nine2Six,,,,,,,"
[한식]
제육김치볶음*데친두부
(돼지:수입산,대두:수입산)
흑향미밥
북어채해장국
햄야채볶음(닭:국산,돼지:국산,수입산)
숙주미나리무침
나트륨을줄인포기김치/석박지
919kcal

[일품]
불고기비빔밥(소:호주산)
맑은우동국물
고추장강정소스김말이튀김
오복채무침
나트륨을줄인포기김치/석박지
1036kcal

[헬스&]









[Slunch]
카프라제치아바타샌드위치
(돼지:국산,닭:국산)
리코타칙피샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)

잔치국수

",FALSE,2,중간,보통,
저녁메뉴,12/01/2016,17:30:00,12/01/2016,19:00:00,FALSE,FALSE,12/01/2016,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
[즉석]철판에직접구운삼치구이
쌀밥
돼지고기두부김치찌개
(돼지:국내산,대두:수입산)
마늘쫑햄볶음(닭:국산,돼지:국산,수입산)
구운김구이*양념장
나트륨을줄인포기김치
821kcal

[샐러드도시락]
카프라제치아바타(돼지:국산,닭:국산)

[플러스메뉴]
라디치오믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
