제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,09/04/2017,07:30:00,09/04/2017,08:30:00,FALSE,FALSE,09/04/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
두부김치찌개
쌀밥
멸치고추장볶음
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*미니크로와상/딸기잼*버터
그린샐러드*요거트D
우유/스크램블에그
고구마샐러드

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,09/04/2017,11:30:00,09/04/2017,13:00:00,FALSE,FALSE,09/04/2017,11:30,Nine2Six,,,,,,,"
[한식]
차돌박이순두부찌개
기장밥
햄야채볶음
부추깻잎전
도시락김
나트륨을줄인포기김치/석박지
964kcal

[일품]
남산왕돈까스&옛날돈까스소스
검정깨밥/크루통스프
마카로니콘샐러드
무비트피클
나트륨을줄인포기김치/석박지
1344kcal

[헬스&]
뽕잎오곡밥
순두부국
씨겨자닭다리살채소구이
토마토연두부카프레제
배추나물
도라지오이무침
사과
764kcal

[Slunch]
햄치즈파니니샌드위치
오렌지치킨텐더샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
방울토마토믹스샐러드
알새우칩
참깨마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,09/04/2017,17:30:00,09/04/2017,19:00:00,FALSE,FALSE,09/04/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
양푼부대찌개*라면사리
쌀밥
코다리강정
보들보들야채계란찜
참나물겉절이
나트륨을줄인포기김치
891kcal

[샐러드도시락]
햄치즈파니니샌드위치

[플러스메뉴]
라디치오믹스샐러드*알새우칩*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,09/05/2017,07:30:00,09/05/2017,08:30:00,FALSE,FALSE,09/05/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
나가사키어묵탕
쌀밥
마늘쫑양념무침
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
곡물식빵*부시맥브레드/딸기잼*버터
그린샐러드*요거트D
우유/스크램블에그
씨리얼

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,09/05/2017,11:30:00,09/05/2017,13:00:00,FALSE,FALSE,09/05/2017,11:30,Nine2Six,,,,,,,"
[한식]
[새마을식당]7분김치찌개*조미김가루
보리밥
야채계란말이
감자채파프리카볶음
콩나물무침
나트륨을줄인포기김치/석박지
901kcal

[일품]
[목살스테이크덮밥]
목살스테이크&야채볶음밥
매쉬드포테이토
야채피클
나트륨을줄인포기김치/석박지
771kcal

[헬스&]









[Slunch]
햄에그클럽샌드위치
모닝빵샌드위치세트
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
아이순믹스샐러드
스위트콘*키드니빈
흑임자D(오리엔탈+흑임자)/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,09/05/2017,17:30:00,09/05/2017,19:00:00,FALSE,FALSE,09/05/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기닭볶음탕
쌀밥
시래기된장국
 
이집트콩샐러드
나트륨을줄인포기김치
2665kcal

[샐러드도시락]
햄에그클럽샌드위치

[플러스메뉴]
아이순믹스샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,09/06/2017,07:30:00,09/06/2017,08:30:00,FALSE,FALSE,09/06/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
배추된장국
쌀밥
꽁치양념무조림
김구이
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*곡물식빵/딸기잼*버터
그린샐러드*요거트D
우유/스크램블에그
햄구이

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,09/06/2017,11:30:00,09/06/2017,13:00:00,FALSE,FALSE,09/06/2017,11:30,Nine2Six,,,,,,,"
[한식]
속이든든한쇠고기국밥*당면
쌀밥
떡갈비조랑떡조림
어묵채볶음
검정콩조림
나트륨을줄인포기김치/석박지
1434kcal

[일품]
치킨까스&양념치킨소스
후리가케밥/양송이스프
단호박샐러드
오이피클&할라피뇨
나트륨을줄인포기김치/석박지
1198kcal

[헬스&]
아욱된장보리밥
콩나물국
아스파라거스제육구이
올방개묵삼색회
느타리버섯들깨나물
오렌지
나트륨을줄인포기김치
717kcal

[Slunch]
햄치즈파니니샌드위치
쇠고기브리또샐러드
MINI과일팩

[플러스메뉴]
현미밥/볶음고추장
삼색파프리카믹스샐러드
잡곡크루통
유자레몬D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,09/06/2017,17:30:00,09/06/2017,19:00:00,FALSE,FALSE,09/06/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기매운돈사태떡찜
쌀밥
미역국
햄마늘쫑볶음
가지나물
나트륨을줄인포기김치
1151kcal

[샐러드도시락]
햄치즈파니니샌드위치

[플러스메뉴]
파프리카믹스샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,09/07/2017,07:30:00,09/07/2017,08:30:00,FALSE,FALSE,09/07/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
호박고추장찌개
쌀밥
해물잡채완자
연두부*양념장
나트륨을줄인포기김치

[즉석]
즉석해장라면/삼곡밥
/나트륨을줄인포기김치

[일품                       ]
토스트식빵*초코도넛/딸기잼*버터
그린샐러드*요거트D
우유/스크램블에그
감자튀김

[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
