제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,05/01/2017,07:30:00,05/01/2017,08:30:00,FALSE,FALSE,05/01/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]







[일품                       ]





",FALSE,2,중간,보통,
점심메뉴,05/01/2017,11:30:00,05/01/2017,13:00:00,FALSE,FALSE,05/01/2017,11:30,Nine2Six,,,,,,,"
[한식]








[일품]







[헬스&]









[Slunch]




[플러스메뉴]




",FALSE,2,중간,보통,
저녁메뉴,05/01/2017,17:30:00,05/01/2017,19:00:00,FALSE,FALSE,05/01/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
아침메뉴,05/02/2017,07:30:00,05/02/2017,08:30:00,FALSE,FALSE,05/02/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
두부김치찌개
쌀밥
동그랑땡계란지짐
김구이
열무김치


[일품                       ]





[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,05/02/2017,11:30:00,05/02/2017,13:00:00,FALSE,FALSE,05/02/2017,11:30,Nine2Six,,,,,,,"
[한식]
쇠고기국밥
차조밥
비엔나소시지볶음
두부구이*양념장
브로콜리*초장
나트륨을줄인포기김치/석박지
1101kcal

[일품]
왕돈까스*옛날돈까스소스
후리가게밥/크림스프
감자튀김
오이피클*할라피뇨
나트륨을줄인포기김치/석박지
1288kcal

[헬스&]









[Slunch]




[플러스메뉴]
볶음고추장
라디치오믹스샐러드
잡곡크루통
들깨마요D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,05/02/2017,17:30:00,05/02/2017,19:00:00,FALSE,FALSE,05/02/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
아침메뉴,05/03/2017,07:30:00,05/03/2017,08:30:00,FALSE,FALSE,05/03/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]







[일품                       ]





",FALSE,2,중간,보통,
점심메뉴,05/03/2017,11:30:00,05/03/2017,13:00:00,FALSE,FALSE,05/03/2017,11:30,Nine2Six,,,,,,,"
[한식]








[일품]







[헬스&]









[Slunch]




[플러스메뉴]




",FALSE,2,중간,보통,
저녁메뉴,05/03/2017,17:30:00,05/03/2017,19:00:00,FALSE,FALSE,05/03/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
아침메뉴,05/04/2017,07:30:00,05/04/2017,08:30:00,FALSE,FALSE,05/04/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]
쇠고기무국
쌀밥
무말랭이무침
연두부*양념장
열무김치


[일품                       ]





[플러스메뉴]
누룽지
",FALSE,2,중간,보통,
점심메뉴,05/04/2017,11:30:00,05/04/2017,13:00:00,FALSE,FALSE,05/04/2017,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기참치김치찌개
쌀밥
떡갈비조랑떡조림
어묵볶음
조미김구이
배추겉절이김치/석박지
866kcal

[일품]
짜장덮밥*무순
계란파국
과일탕수육
단무지 
배추겉절이김치/석박지
1403kcal

[헬스&]









[Slunch]




[플러스메뉴]
볶음고추장
아이순믹스샐러드
스위트콘*키드니빈
사우전아일랜드D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,05/04/2017,17:30:00,05/04/2017,19:00:00,FALSE,FALSE,05/04/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
아침메뉴,05/05/2017,07:30:00,05/05/2017,08:30:00,FALSE,FALSE,05/05/2017,07:30,Nine2Six,,,,,,,"
[한식                     ]







[일품                       ]





",FALSE,2,중간,보통,
점심메뉴,05/05/2017,11:30:00,05/05/2017,13:00:00,FALSE,FALSE,05/05/2017,11:30,Nine2Six,,,,,,,"
[한식]








[일품]







[헬스&]









[Slunch]




[플러스메뉴]




",FALSE,2,중간,보통,
저녁메뉴,05/05/2017,17:30:00,05/05/2017,19:00:00,FALSE,FALSE,05/05/2017,17:30,Nine2Six,,,,,,,"
[한식 or 일품]









",FALSE,2,중간,보통,
